TransactionId	ASId	Ingress	Egress	PathletId	Bandwidth	Delay	Reliability	Status	Full Path
245	0	000000	000001	0	13.0	4.0	0,140	true	[000000, 000001]
246	0	000000	000001	1	6.0	3.0	0,018	true	[000000, 000003, 000001]
247	0	000000	000001	2	6.0	2.0	0,064	true	[000000, 000005, 000001]
248	0	000000	000001	3	6.0	1.0	0,000	true	[000000, 000005, 000004, 000002, 000001]
249	0	000000	000005	4	7.0	1.0	0,000	true	[000000, 000001, 000002, 000004, 000005]
250	0	000000	000005	5	9.0	3.0	0,056	true	[000000, 000001, 000005]
251	0	000000	000005	6	6.0	1.0	0,000	true	[000000, 000003, 000001, 000002, 000004, 000005]
252	0	000000	000005	7	6.0	3.0	0,007	true	[000000, 000003, 000001, 000005]
253	0	000000	000005	8	6.0	2.0	0,160	true	[000000, 000005]
254	0	000001	000005	9	6.0	2.0	0,022	true	[000001, 000000, 000005]
255	0	000001	000005	10	7.0	1.0	0,003	true	[000001, 000002, 000004, 000005]
256	0	000001	000005	11	6.0	2.0	0,003	true	[000001, 000003, 000000, 000005]
257	0	000001	000005	12	9.0	3.0	0,400	true	[000001, 000005]
258	1	001005	001000	0	8.0	5.0	0,180	true	[001005, 001000]
259	1	001005	001000	1	7.0	2.0	0,000	true	[001005, 001001, 001003, 001004, 001000]
260	1	001005	001000	2	7.0	2.0	0,000	true	[001005, 001001, 001003, 001004, 001002, 001000]
261	1	001005	001000	3	7.0	4.0	0,013	true	[001005, 001001, 001004, 001000]
262	1	001005	001000	4	7.0	3.0	0,001	true	[001005, 001001, 001004, 001002, 001000]
263	1	001005	001000	5	10.0	3.0	0,059	true	[001005, 001002, 001000]
264	1	001005	001000	6	8.0	4.0	0,021	true	[001005, 001002, 001004, 001000]
265	1	001005	001000	7	8.0	1.0	0,071	true	[001005, 001004, 001000]
266	1	001005	001000	8	12.0	1.0	0,004	true	[001005, 001004, 001002, 001000]
267	1	001005	001002	9	8.0	3.0	0,023	true	[001005, 001000, 001002]
268	1	001005	001002	10	8.0	5.0	0,009	true	[001005, 001000, 001004, 001002]
269	1	001005	001002	11	7.0	2.0	0,000	true	[001005, 001001, 001003, 001004, 001000, 001002]
270	1	001005	001002	12	7.0	2.0	0,000	true	[001005, 001001, 001003, 001004, 001002]
271	1	001005	001002	13	7.0	3.0	0,002	true	[001005, 001001, 001004, 001000, 001002]
272	1	001005	001002	14	7.0	4.0	0,005	true	[001005, 001001, 001004, 001002]
273	1	001005	001002	15	10.0	4.0	0,450	true	[001005, 001002]
274	1	001005	001002	16	8.0	1.0	0,009	true	[001005, 001004, 001000, 001002]
275	1	001005	001002	17	13.0	1.0	0,029	true	[001005, 001004, 001002]
276	1	001000	001002	18	12.0	3.0	0,130	true	[001000, 001002]
277	1	001000	001002	19	7.0	4.0	0,006	true	[001000, 001004, 001001, 001005, 001002]
278	1	001000	001002	20	8.0	5.0	0,048	true	[001000, 001004, 001002]
279	1	001000	001002	21	7.0	2.0	0,000	true	[001000, 001004, 001003, 001001, 001005, 001002]
280	1	001000	001002	22	8.0	1.0	0,032	true	[001000, 001004, 001005, 001002]
281	1	001000	001002	23	7.0	2.0	0,000	true	[001000, 001005, 001001, 001003, 001004, 001002]
282	1	001000	001002	24	7.0	4.0	0,001	true	[001000, 001005, 001001, 001004, 001002]
283	1	001000	001002	25	8.0	4.0	0,081	true	[001000, 001005, 001002]
284	1	001000	001002	26	8.0	1.0	0,005	true	[001000, 001005, 001004, 001002]
285	2	002005	002003	0	9.0	1.0	0,007	true	[002005, 002000, 002002, 002003]
286	2	002005	002003	1	9.0	1.0	0,042	true	[002005, 002000, 002003]
287	2	002005	002003	2	13.0	1.0	0,000	true	[002005, 002000, 002004, 002002, 002003]
288	2	002005	002003	3	9.0	4.0	0,002	true	[002005, 002001, 002000, 002002, 002003]
289	2	002005	002003	4	9.0	1.0	0,014	true	[002005, 002001, 002000, 002003]
290	2	002005	002003	5	10.0	4.0	0,000	true	[002005, 002001, 002000, 002004, 002002, 002003]
291	2	002005	002003	6	13.0	2.0	0,300	true	[002005, 002003]
292	2	002005	002002	7	9.0	1.0	0,036	true	[002005, 002000, 002002]
293	2	002005	002002	8	9.0	1.0	0,008	true	[002005, 002000, 002003, 002002]
294	2	002005	002002	9	13.0	1.0	0,001	true	[002005, 002000, 002004, 002002]
295	2	002005	002002	10	9.0	4.0	0,012	true	[002005, 002001, 002000, 002002]
296	2	002005	002002	11	9.0	1.0	0,003	true	[002005, 002001, 002000, 002003, 002002]
297	2	002005	002002	12	10.0	4.0	0,000	true	[002005, 002001, 002000, 002004, 002002]
298	2	002005	002002	13	9.0	1.0	0,006	true	[002005, 002003, 002000, 002002]
299	2	002005	002002	14	9.0	1.0	0,000	true	[002005, 002003, 002000, 002004, 002002]
