TransactionId	ASId	Ingress	Egress	PathletId	Bandwidth	Delay	Reliability	Status	Full Path
278	0	000001	000002	0	33.0	4.0	0,903	true	[000001, 000000, 000002]
279	0	000001	000002	1	13.0	3.0	0,912	true	[000001, 000000, 000004, 000002]
280	0	000001	000002	2	15.0	3.0	0,849	true	[000001, 000000, 000004, 000003, 000005, 000002]
281	0	000001	000002	3	13.0	6.0	0,922	true	[000001, 000000, 000005, 000002]
282	0	000001	000002	4	13.0	3.0	0,841	true	[000001, 000000, 000005, 000003, 000004, 000002]
283	0	000001	000002	5	29.0	5.0	0,990	true	[000001, 000002]
284	0	000001	000002	6	15.0	3.0	0,876	true	[000001, 000003, 000004, 000000, 000002]
285	0	000001	000002	7	13.0	3.0	0,895	true	[000001, 000003, 000004, 000000, 000005, 000002]
286	0	000001	000002	8	13.0	3.0	0,922	true	[000001, 000003, 000004, 000002]
287	0	000001	000002	9	13.0	4.0	0,876	true	[000001, 000003, 000005, 000000, 000002]
288	0	000001	000002	10	13.0	3.0	0,885	true	[000001, 000003, 000005, 000000, 000004, 000002]
289	0	000001	000002	11	36.0	5.0	0,931	true	[000001, 000003, 000005, 000002]
290	0	000001	000002	12	17.0	3.0	0,931	true	[000001, 000004, 000000, 000002]
291	0	000001	000002	13	13.0	3.0	0,951	true	[000001, 000004, 000000, 000005, 000002]
292	0	000001	000002	14	13.0	6.0	0,980	true	[000001, 000004, 000002]
293	0	000001	000002	15	13.0	3.0	0,858	true	[000001, 000004, 000003, 000005, 000000, 000002]
294	0	000001	000002	16	15.0	3.0	0,912	true	[000001, 000004, 000003, 000005, 000002]
295	0	000001	000002	17	13.0	4.0	0,903	true	[000001, 000005, 000000, 000002]
296	0	000001	000002	18	13.0	3.0	0,913	true	[000001, 000005, 000000, 000004, 000002]
297	0	000001	000002	19	25.0	6.0	0,960	true	[000001, 000005, 000002]
298	0	000001	000002	20	15.0	3.0	0,832	true	[000001, 000005, 000003, 000004, 000000, 000002]
299	0	000001	000002	21	13.0	3.0	0,876	true	[000001, 000005, 000003, 000004, 000002]
300	0	000001	000000	22	33.0	10.0	0,950	true	[000001, 000000]
301	0	000001	000000	23	29.0	4.0	0,941	true	[000001, 000002, 000000]
302	0	000001	000000	24	13.0	3.0	0,951	true	[000001, 000002, 000004, 000000]
303	0	000001	000000	25	13.0	3.0	0,876	true	[000001, 000002, 000004, 000003, 000005, 000000]
304	0	000001	000000	26	13.0	5.0	0,960	true	[000001, 000002, 000005, 000000]
305	0	000001	000000	27	15.0	3.0	0,885	true	[000001, 000002, 000005, 000003, 000004, 000000]
306	0	000001	000000	28	15.0	3.0	0,922	true	[000001, 000003, 000004, 000000]
307	0	000001	000000	29	13.0	3.0	0,876	true	[000001, 000003, 000004, 000002, 000000]
308	0	000001	000000	30	13.0	3.0	0,895	true	[000001, 000003, 000004, 000002, 000005, 000000]
309	0	000001	000000	31	13.0	5.0	0,922	true	[000001, 000003, 000005, 000000]
310	0	000001	000000	32	36.0	4.0	0,885	true	[000001, 000003, 000005, 000002, 000000]
311	0	000001	000000	33	13.0	3.0	0,895	true	[000001, 000003, 000005, 000002, 000004, 000000]
312	0	000001	000000	34	17.0	3.0	0,980	true	[000001, 000004, 000000]
313	0	000001	000000	35	13.0	4.0	0,931	true	[000001, 000004, 000002, 000000]
314	0	000001	000000	36	13.0	6.0	0,951	true	[000001, 000004, 000002, 000005, 000000]
315	0	000001	000000	37	13.0	3.0	0,903	true	[000001, 000004, 000003, 000005, 000000]
316	0	000001	000000	38	15.0	3.0	0,867	true	[000001, 000004, 000003, 000005, 000002, 000000]
317	0	000001	000000	39	13.0	8.0	0,951	true	[000001, 000005, 000000]
318	0	000001	000000	40	25.0	4.0	0,912	true	[000001, 000005, 000002, 000000]
319	0	000001	000000	41	13.0	3.0	0,922	true	[000001, 000005, 000002, 000004, 000000]
320	0	000001	000000	42	15.0	3.0	0,876	true	[000001, 000005, 000003, 000004, 000000]
321	0	000001	000000	43	13.0	3.0	0,832	true	[000001, 000005, 000003, 000004, 000002, 000000]
322	0	000002	000000	44	72.0	4.0	0,950	true	[000002, 000000]
323	0	000002	000000	45	29.0	5.0	0,941	true	[000002, 000001, 000000]
324	0	000002	000000	46	15.0	3.0	0,913	true	[000002, 000001, 000003, 000004, 000000]
325	0	000002	000000	47	13.0	5.0	0,913	true	[000002, 000001, 000003, 000005, 000000]
